area_type,availability,size,society,total_sqft,bath,balcony,price,site_location
Super built-up  Area,19-Mar,3 BHK,NiCodCa,1138,3.0,2.0,128.0,Vadgaon Budruk
Super built-up  Area,19-Dec,2 BHK,GrrvaGr,1113,2.0,1.0,70.0,Wadgaon Sheri
Built-up  Area,Ready To Move,3 BHK,NaensGa,1300,2.0,2.0,58.0,Viman Nagar
Plot  Area,Ready To Move,4 Bedroom,GrrvaGr,2400,4.0,2.0,225.0,Vishrant Wadi
Built-up  Area,Ready To Move,2 BHK,GrrvaGr,1200,2.0,2.0,60.0,Wagholi
Super built-up  Area,Ready To Move,3 BHK,GrrvaGr,1900,3.0,2.0,190.0,Wakadewadi
Super built-up  Area,Ready To Move,4 BHK,Lecco C,5150,4.0,3.0,225.0,Wanowrie
Plot  Area,Ready To Move,5 Bedroom,GrrvaGr,1200,4.5,2.0,225.0,Warje
Super built-up  Area,18-Dec,4 BHK,Goted U,2956,4.5,2.0,225.0,Yerawada
Plot  Area,Ready To Move,5 Bedroom,GrrvaGr,1100,4.5,1.0,165.0,Alandi Road
Super built-up  Area,18-May,2 BHK,Prcesvy,1398,2.0,1.0,97.0,Ambegaon Budruk
Plot  Area,Ready To Move,2 Bedroom,GrrvaGr,1152,1.0,0.0,66.0,Anandnagar
Plot  Area,Ready To Move,4 Bedroom,GrrvaGr,1200,4.5,2.0,225.0,Aundh
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1110,2.0,2.0,44.95,Aundh Road
Built-up  Area,Ready To Move,2 BHK,Sarch M,1116,2.0,1.0,47.0,Balaji Nagar
Super built-up  Area,Ready To Move,2 BHK,ARngsd ,1061,2.0,1.0,33.84,Baner
Super built-up  Area,Ready To Move,1 BHK,GrrvaGr,620,1.0,1.0,86.8,Baner road
Super built-up  Area,Ready To Move,3 BHK,GrrvaGr,1300,2.0,2.0,52.0,Bhandarkar Road
Built-up  Area,Ready To Move,2 BHK,Shana S,1270,2.0,2.0,57.0,Bhavani Peth
Super built-up  Area,18-Apr,2 BHK,GrrvaGr,966,2.0,2.0,50.0,Bibvewadi
Plot  Area,Ready To Move,4 Bedroom,GrrvaGr,1200,4.0,1.0,110.0,Bopodi
Plot  Area,Ready To Move,4 Bedroom,GrrvaGr,1320,4.0,3.0,225.0,Budhwar Peth
Super built-up  Area,Ready To Move,4 BHK,Emine P,3596,4.5,1.0,225.0,Bund Garden Road
Super built-up  Area,18-May,3 BHK,GrrvaGr,1630,3.0,2.0,131.0,Camp
Super built-up  Area,Ready To Move,5 BHK,GrrvaGr,600,4.5,3.0,72.0,Chandan Nagar
Plot  Area,Ready To Move,4 Bedroom,GrrvaGr,600,4.0,2.0,60.0,Dapodi
Super built-up  Area,Ready To Move,2 BHK,Veiewak,1202,2.0,1.0,65.0,Deccan Gymkhana
Plot  Area,Ready To Move,4 Bedroom,GrrvaGr,1200,4.0,2.0,225.0,Dehu Road
Built-up  Area,Ready To Move,2 BHK,GrrvaGr,1300,2.0,2.0,80.0,Dhankawadi
Plot  Area,Ready To Move,6 Bedroom,GrrvaGr,1200,4.5,2.0,225.0,Dhayari Phata
Super built-up  Area,Ready To Move,3 BHK,GMown E,1360,2.0,1.0,70.0,Dhole Patil Road
Super built-up  Area,Ready To Move,2 BHK,Mileeou,1155,2.0,1.0,69.18,Erandwane
Super built-up  Area,Ready To Move,3 BHK,Taonte ,2378,3.0,1.0,225.0,Fatima Nagar
Super built-up  Area,Ready To Move,2 BHK,MBrrySt,1011,2.0,2.0,38.0,Fergusson College Road
Built-up  Area,Ready To Move,2 BHK,VaiewV ,1203,2.0,2.0,72.0,Ganesh Peth
Super built-up  Area,19-Dec,3 BHK,Raard B,1645,3.0,2.0,113.0,Ganeshkhind
Super built-up  Area,Ready To Move,3 BHK,Honcyju,1364,2.0,3.0,50.0,Ghorpade Peth
Plot  Area,19-Jan,2 Bedroom,GrrvaGr,1200,1.0,1.0,36.0,Ghorpadi
Built-up  Area,Ready To Move,1 BHK,GrrvaGr,1050,2.0,2.0,41.0,Gokhale Nagar
Super built-up  Area,Ready To Move,3 BHK,GrrvaGr,1365,3.0,3.0,66.0,Gultekdi
Super built-up  Area,Ready To Move,3 BHK,DLhtsen,1252,3.0,3.0,70.0,Guruwar peth
Super built-up  Area,Ready To Move,3 BHK,DLhtsan,1221,3.0,2.0,65.0,Hadapsar
Built-up  Area,Ready To Move,2 BHK,GrrvaGr,1065,2.0,1.0,58.0,Hadapsar Industrial Estate
Super built-up  Area,Ready To Move,3 BHK,Ayaya A,1270,2.0,1.0,55.25,Hingne Khurd
Built-up  Area,Ready To Move,2 BHK,KVersuj,1032,2.0,2.0,45.0,Jangali Maharaj Road
Super built-up  Area,Ready To Move,4 BHK,GrrvaGr,2900,4.0,2.0,225.0,Kalyani Nagar
Super built-up  Area,Ready To Move,3 BHK,NDivaOl,1515,2.0,3.0,69.0,Karve Nagar
Super built-up  Area,Ready To Move,2 BHK,Daganva,1427,2.0,2.0,52.0,Karve Road
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,940,2.0,2.0,50.0,Kasba Peth
Plot  Area,18-Mar,5 Bedroom,GrrvaGr,800,4.5,1.0,95.0,Katraj
Super built-up  Area,Ready To Move,3 BHK,SNity S,1460,2.0,2.0,80.0,Khadaki
Super built-up  Area,Ready To Move,3 BHK,Adeatlm,2275,4.0,2.0,175.0,Khadki
Super built-up  Area,21-Sep,3 BHK,Vasisvi,1522,3.0,2.0,90.0,Kharadi
Plot  Area,19-Jan,3 Bedroom,GrrvaGr,3210,4.0,2.0,225.0,Kondhwa
Super built-up  Area,Ready To Move,2 BHK,MenueNo,1185,2.0,2.0,42.67,Kondhwa Budruk
Super built-up  Area,Ready To Move,13 BHK,GrrvaGr,5425,4.5,0.0,225.0,Kondhwa Khurd
Built-up  Area,Ready To Move,3 BHK,Bregae ,1800,3.0,2.0,125.0,Koregaon Park
Super built-up  Area,17-May,2 BHK,GrrvaGr,940,2.0,1.0,44.0,Kothrud
Plot  Area,Ready To Move,4 Bedroom,GrrvaGr,1200,4.0,2.0,135.0,Law College Road
Super built-up  Area,Ready To Move,3 BHK,GrrvaGr,1530,3.0,2.0,71.0,Laxmi Road
Built-up  Area,Ready To Move,2 BHK,Viine P,1050,2.0,1.0,48.0,Lulla Nagar
Super built-up  Area,Ready To Move,2 BHK,Prldsri,929,2.0,2.0,49.0,Mahatma Gandhi Road
Built-up  Area,Ready To Move,4 Bedroom,GrrvaGr,3750,4.5,3.0,145.0,Mangalwar peth
Super built-up  Area,Ready To Move,3 BHK,PaantPl,1530,3.0,3.0,75.0,Manik Bagh
Plot  Area,Ready To Move,2 Bedroom,GrrvaGr,900,2.0,1.0,48.0,Market yard
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,978,2.0,1.0,34.22,Model colony
Built-up  Area,Ready To Move,4 BHK,Prowshi,4041,4.0,2.0,225.0,Mukund Nagar
Super built-up  Area,Ready To Move,1 BHK,GrrvaGr,770,1.0,2.0,43.82,Mundhawa
Built-up  Area,Ready To Move,2 BHK,GrrvaGr,1066,2.0,3.0,55.0,Nagar Road
Super built-up  Area,Ready To Move,1 BHK,Palleon,635,1.0,0.0,28.0,Nana Peth
Super built-up  Area,Ready To Move,2 BHK,Arria G,1015,2.0,1.0,45.0,Narayan Peth
Built-up  Area,Ready To Move,2 BHK,AraraSa,1175,2.0,0.0,54.05,Narayangaon
Plot  Area,Ready To Move,4 Bedroom,GrrvaGr,1200,4.0,2.0,130.0,Navi Peth
Super built-up  Area,18-May,2 BHK,GrrvaGr,1188,2.0,1.0,50.0,Padmavati
Plot  Area,Ready To Move,5 Bedroom,GrrvaGr,2400,4.5,2.0,225.0,Parvati Darshan
Super built-up  Area,19-Oct,1 BHK,GrrvaGr,620,1.0,1.0,25.0,Pashan
Built-up  Area,Ready To Move,2 BHK,Prsichi,1210,2.0,0.0,75.0,Paud Road
Plot  Area,18-Apr,3 Bedroom,Goe 2me,1000,3.0,1.0,90.0,Pirangut
Super built-up  Area,Ready To Move,3 BHK,Suavea ,1500,2.0,2.0,99.0,Prabhat Road
Plot  Area,Ready To Move,4 Bedroom,Aroveth,1800,3.0,2.0,190.0,Pune Railway Station
Super built-up  Area,Ready To Move,2 BHK,MenueNo,1185,2.0,2.0,43.66,Rasta Peth
Built-up  Area,Ready To Move,3 BHK,V2lasna,1600,3.0,3.0,130.0,Raviwar Peth
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1100,2.0,1.0,28.0,Sadashiv Peth
Super built-up  Area,Ready To Move,2 BHK,Jatish ,1300,2.0,2.0,69.23,Sahakar Nagar
Super built-up  Area,Ready To Move,2 BHK,MSopsw ,1100,2.0,1.0,68.0,Salunke Vihar
Super built-up  Area,19-Apr,2 BHK,Sisice ,860,2.0,1.0,28.93,Sasson Road
Super built-up  Area,18-Jun,2 BHK,GrrvaGr,1007,2.0,1.0,64.0,Satara Road
Super built-up  Area,Ready To Move,2 BHK,SagasSa,1100,2.0,2.0,48.0,Senapati Bapat Road
Super built-up  Area,Ready To Move,2 BHK,SMuilan,1187,2.0,1.0,38.0,Shaniwar Peth
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1150,2.0,2.0,72.0,Shivaji Nagar
Super built-up  Area,Ready To Move,3 BHK,Vancyat,2400,3.0,2.0,225.0,Shukrawar Peth
Super built-up  Area,18-Apr,2 BHK,GrrvaGr,1180,2.0,3.0,41.94,Sinhagad Road
Super built-up  Area,Ready To Move,3 BHK,PrityTr,1820,3.0,2.0,85.2,Somwar Peth
Plot  Area,Ready To Move,6 Bedroom,GrrvaGr,1200,4.5,3.0,180.0,Swargate
Plot  Area,Ready To Move,3 Bedroom,GrrvaGr,2400,4.5,2.0,225.0,Tilak Road
Super built-up  Area,Ready To Move,4 BHK,GrrvaGr,3628,4.0,1.0,225.0,Uruli Devachi
Built-up  Area,Ready To Move,3 BHK,KSideas,1430,3.0,2.0,70.0,Vadgaon Budruk
Super built-up  Area,21-Jan,2 BHK,PrarePa,700,2.0,1.0,40.0,Wadgaon Sheri
Plot  Area,Ready To Move,2 Bedroom,GrrvaGr,1200,1.0,0.0,70.0,Viman Nagar
Super built-up  Area,20-Dec,2 BHK,Shmes O,1165,2.0,1.0,40.77,Vishrant Wadi
Super built-up  Area,Ready To Move,3 BHK,GrrvaGr,1569,3.0,2.0,118.0,Wagholi
Super built-up  Area,Ready To Move,3 BHK,GrrvaGr,1950,4.0,3.0,95.0,Wakadewadi
Plot  Area,Ready To Move,2 Bedroom,GrrvaGr,1200,3.0,1.0,70.0,Wanowrie
Super built-up  Area,Ready To Move,3 BHK,GrrvaGr,2437,3.0,2.0,125.0,Warje
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,950,2.0,2.0,46.7,Yerawada
Built-up  Area,18-Jul,3 BHK,NiCodCa,1685,3.0,3.0,115.0,Alandi Road
Super built-up  Area,Ready To Move,4 BHK,GrrvaGr,3270,4.0,3.0,205.0,Ambegaon Budruk
Super built-up  Area,Ready To Move,2 BHK,Maantr ,1314,2.0,2.0,110.0,Anandnagar
Super built-up  Area,18-May,3 BHK,GrrvaGr,1250,3.0,2.0,40.0,Aundh
Built-up  Area,Ready To Move,2 BHK,AmthaIn,1130,2.0,2.0,68.0,Aundh Road
Plot  Area,Ready To Move,6 Bedroom,GrrvaGr,1200,4.5,3.0,122.0,Balaji Nagar
Plot  Area,Ready To Move,6 Bedroom,GrrvaGr,890,4.5,2.0,160.0,Baner
Plot  Area,Ready To Move,3 Bedroom,GrrvaGr,857,3.0,2.0,95.0,Baner road
Super built-up  Area,Ready To Move,3 BHK,Santste,2247,3.0,2.0,145.0,Bhandarkar Road
Super built-up  Area,Ready To Move,3 BHK,Valdsic,1550,3.0,2.0,85.0,Bhavani Peth
Super built-up  Area,Ready To Move,3 BHK,SMaxyay,1715,2.0,2.0,100.0,Bibvewadi
Super built-up  Area,Ready To Move,2 BHK,Koagati,1053,2.0,1.0,53.0,Bopodi
Plot  Area,Ready To Move,3 Bedroom,GrrvaGr,1200,3.0,0.0,50.0,Budhwar Peth
Plot  Area,Ready To Move,3 Bedroom,GrrvaGr,1800,2.0,1.0,225.0,Bund Garden Road
Built-up  Area,Ready To Move,5 Bedroom,GrrvaGr,2400,4.0,0.0,97.0,Camp
Super built-up  Area,Ready To Move,2 BHK,Seityen,1245,1.0,3.0,60.0,Chandan Nagar
Super built-up  Area,Ready To Move,2 BHK,Proodt ,1320,2.0,1.0,160.0,Dapodi
Plot  Area,Ready To Move,4 Bedroom,PrOakSi,3940,4.5,3.0,225.0,Deccan Gymkhana
Built-up  Area,Ready To Move,3 BHK,Pronyt ,1241,2.0,1.0,65.0,Dehu Road
Built-up  Area,Ready To Move,3 BHK,BriumMi,2980,4.0,2.0,225.0,Dhankawadi
Plot  Area,Ready To Move,6 Bedroom,GrrvaGr,600,4.5,3.0,130.0,Dhayari Phata
Super built-up  Area,Ready To Move,2 BHK,Vaw 1il,1090,2.0,2.0,57.0,Dhole Patil Road
Super built-up  Area,Ready To Move,3 BHK,ViisePa,1390,2.0,1.0,50.0,Erandwane
Plot  Area,Ready To Move,8 Bedroom,GrrvaGr,600,4.0,3.0,175.0,Fatima Nagar
Super built-up  Area,Ready To Move,3 BHK,Leora D,2750,4.5,2.0,225.0,Fergusson College Road
Super built-up  Area,21-Dec,3 BHK,PrarePa,1100,2.0,1.0,52.97,Ganesh Peth
Built-up  Area,Ready To Move,2 BHK,HawerMa,1350,2.0,2.0,103.0,Ganeshkhind
Built-up  Area,Ready To Move,2 BHK,GrrvaGr,800,2.0,2.0,55.0,Ghorpade Peth
Super built-up  Area,Ready To Move,3 BHK,Klark L,1787,3.0,2.0,116.0,Ghorpadi
Built-up  Area,Ready To Move,3 BHK,GrrvaGr,2400,3.0,2.0,220.0,Gokhale Nagar
Super built-up  Area,Ready To Move,4 BHK,Oznzaes,3700,4.0,2.0,225.0,Gultekdi
Super built-up  Area,Ready To Move,3 BHK,Klark L,1691,3.0,2.0,93.01,Guruwar peth
Super built-up  Area,18-Jul,4 BHK,Rosha I,2119,4.0,3.0,111.0,Hadapsar
Plot  Area,18-Mar,3 Bedroom,Theanmp,2325,3.0,2.0,95.0,Hadapsar Industrial Estate
Plot  Area,Ready To Move,5 Bedroom,GrrvaGr,570,4.5,0.0,80.0,Hingne Khurd
Super built-up  Area,Ready To Move,3 BHK,DLhtsnd,1896,3.0,2.0,102.0,Jangali Maharaj Road
Super built-up  Area,17-Oct,3 BHK,Naiewre,1540,3.0,2.0,48.51,Kalyani Nagar
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1244,2.0,2.0,95.0,Karve Nagar
Super built-up  Area,Ready To Move,3 BHK,Naandit,1365,2.0,2.0,65.0,Karve Road
Super built-up  Area,18-May,1 BHK,SaSkyBl,580,1.0,1.0,27.5,Kasba Peth
Super built-up  Area,18-Dec,3 BHK,Magiaya,1355,3.0,2.0,83.87,Katraj
Plot  Area,Ready To Move,3 Bedroom,GrrvaGr,1500,4.0,2.0,180.0,Khadaki
Super built-up  Area,Ready To Move,2 BHK,HMityld,1513,2.0,3.0,62.0,Khadki
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1175,2.0,1.0,41.13,Kharadi
Super built-up  Area,17-Jan,3 BHK,Soitya ,2087,4.0,2.0,139.0,Kondhwa
Super built-up  Area,21-Dec,3 BHK,Sodgere,2273,3.0,2.0,145.0,Kondhwa Budruk
Super built-up  Area,19-May,3 BHK,G conTh,2050,3.0,2.0,150.0,Kondhwa Khurd
Built-up  Area,Ready To Move,2 Bedroom,GrrvaGr,1200,2.0,1.0,75.0,Koregaon Park
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1190,2.0,3.0,59.0,Kothrud
Super built-up  Area,Ready To Move,4 BHK,GrrvaGr,600,3.0,2.0,85.0,Law College Road
Super built-up  Area,18-Apr,2 BHK,GrrvaGr,1019,2.0,2.0,49.86,Laxmi Road
Super built-up  Area,Ready To Move,3 BHK,Prtanha,1830,3.0,2.0,133.0,Lulla Nagar
Plot  Area,Ready To Move,7 Bedroom,GrrvaGr,4278,4.5,1.0,225.0,Mahatma Gandhi Road
Super built-up  Area,Ready To Move,2 BHK,MamelKa,1028,2.0,1.0,56.0,Mangalwar peth
Built-up  Area,Ready To Move,2 BHK,Sastaat,1300,2.0,2.0,100.0,Manik Bagh
Super built-up  Area,Ready To Move,2 BHK,Maoma P,1160,2.0,1.0,67.0,Market yard
Super built-up  Area,Ready To Move,3 BHK,GrrvaGr,1505,3.0,2.0,78.0,Model colony
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1250,2.0,1.0,55.55,Mukund Nagar
Plot  Area,Ready To Move,1 Bedroom,GrrvaGr,400,2.0,1.0,50.0,Mundhawa
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1175,2.0,1.0,41.68,Nagar Road
Super built-up  Area,Ready To Move,2 BHK,Smrryny,1100,2.0,2.0,57.6,Nana Peth
Super built-up  Area,Ready To Move,3 BHK,PrBayGa,2159,3.0,2.0,120.0,Narayan Peth
Super built-up  Area,18-May,2 BHK,Jurdsig,1230,2.0,1.0,56.45,Narayangaon
Plot  Area,Ready To Move,3 Bedroom,GrrvaGr,1200,4.0,2.0,180.0,Navi Peth
Built-up  Area,Ready To Move,5 Bedroom,GrrvaGr,3100,4.5,1.0,165.0,Padmavati
Super built-up  Area,18-Jun,5 BHK,Brica E,4500 - 5540,4.5,0.0,225.0,Parvati Darshan
Built-up  Area,Ready To Move,1 Bedroom,GrrvaGr,1200,1.0,0.0,48.0,Pashan
Super built-up  Area,Ready To Move,2 BHK,Chisei ,1340,2.0,1.0,71.0,Paud Road
Super built-up  Area,Ready To Move,3 BHK,Vimesar,1750,2.0,2.0,89.0,Pirangut
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1400,2.0,1.0,100.0,Prabhat Road
Built-up  Area,Ready To Move,3 BHK,GrrvaGr,1350,3.0,0.0,60.0,Pune Railway Station
Super built-up  Area,Ready To Move,3 BHK,Reion M,1675,3.0,3.0,62.0,Rasta Peth
Super built-up  Area,21-Dec,2 BHK,Bhe 2ko,1340,2.0,1.0,66.33,Raviwar Peth
Built-up  Area,Ready To Move,2 Bedroom,GrrvaGr,600,1.0,0.0,68.0,Sadashiv Peth
Super built-up  Area,Ready To Move,2 BHK,Vandak ,1276,2.0,2.0,76.0,Sahakar Nagar
Super built-up  Area,Ready To Move,3 BHK,Srdor S,1738,2.0,3.0,76.0,Salunke Vihar
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1190,2.0,2.0,59.9,Sasson Road
Super built-up  Area,18-Apr,2 BHK,Prarkun,1128,2.0,1.0,65.45,Satara Road
Super built-up  Area,Ready To Move,2 BHK,Shnto F,1250,2.0,1.0,55.0,Senapati Bapat Road
Built-up  Area,Ready To Move,2 BHK,Soarkge,1450,2.0,2.0,90.0,Shaniwar Peth
Super built-up  Area,Ready To Move,2 BHK,MRvar S,1084,2.0,1.0,53.0,Shivaji Nagar
Built-up  Area,Ready To Move,4 BHK,GrrvaGr,2150,4.0,2.0,90.0,Shukrawar Peth
Built-up  Area,Ready To Move,4 Bedroom,GrrvaGr,6000,4.0,0.0,225.0,Sinhagad Road
Plot  Area,Ready To Move,4 Bedroom,GrrvaGr,600,3.0,0.0,77.0,Somwar Peth
Super built-up  Area,Ready To Move,2 BHK,Kelmsoy,1250,2.0,2.0,65.0,Swargate
Plot  Area,Ready To Move,3 Bedroom,GrrvaGr,2400,4.0,1.0,225.0,Tilak Road
Super built-up  Area,Ready To Move,3 BHK,Spews L,1304,3.0,0.0,65.0,Uruli Devachi
Super built-up  Area,Ready To Move,3 BHK,Brway G,1640,3.0,2.0,225.0,Vadgaon Budruk
Built-up  Area,Ready To Move,2 BHK,Brnia G,980,2.0,1.0,77.44,Wadgaon Sheri
Super built-up  Area,Ready To Move,2 BHK,Sumesa ,1275,2.0,2.0,49.5,Viman Nagar
Plot  Area,Ready To Move,1 Bedroom,GrrvaGr,10030,1.0,1.0,150.0,Vishrant Wadi
Plot  Area,Ready To Move,3 Bedroom,GrrvaGr,2500,4.0,0.0,140.0,Wagholi
Built-up  Area,Ready To Move,4 Bedroom,GrrvaGr,3600,4.0,0.0,225.0,Wakadewadi
Plot  Area,Ready To Move,3 Bedroom,SRbiaxu,2400,4.0,0.0,95.0,Wanowrie
Super built-up  Area,Ready To Move,3 BHK,Prlis A,2300,3.0,2.0,225.0,Warje
Super built-up  Area,18-May,3 BHK,Wiowsri,1450,2.0,2.0,70.18,Yerawada
Super built-up  Area,Ready To Move,2 BHK,MVnexde,890,2.0,1.0,40.0,Alandi Road
Super built-up  Area,Ready To Move,2 BHK,Esave E,1340,2.0,3.0,85.0,Ambegaon Budruk
Super built-up  Area,Ready To Move,3 BHK,GrrvaGr,1100,2.0,1.0,75.0,Anandnagar
Super built-up  Area,Ready To Move,2 BHK,VBvenal,750,2.0,1.0,40.0,Aundh
Plot  Area,Ready To Move,4 Bedroom,GrrvaGr,700,4.0,2.0,125.0,Aundh Road
Super built-up  Area,Ready To Move,2 BHK,DLhtsnd,1300,2.0,2.0,66.0,Balaji Nagar
Super built-up  Area,21-Dec,2 BHK,GrrvaGr,1301,2.0,1.0,120.0,Baner
Built-up  Area,Ready To Move,9 Bedroom,GrrvaGr,3200,4.5,1.0,130.0,Baner road
Plot  Area,Ready To Move,3 Bedroom,GrrvaGr,1900,2.0,2.0,92.0,Bhandarkar Road
Super built-up  Area,19-Jul,2 BHK,Soazak ,1299,2.0,1.0,105.0,Bhavani Peth
Super built-up  Area,18-May,3 BHK,GrrvaGr,1250,3.0,3.0,40.0,Bibvewadi
Plot  Area,Ready To Move,4 Bedroom,Ieuseut,1600,4.0,2.0,225.0,Bopodi
Super built-up  Area,Ready To Move,2 BHK,Sothin ,925,2.0,1.0,55.0,Budhwar Peth
Plot  Area,Ready To Move,3 Bedroom,Sreat R,3900,3.0,3.0,225.0,Bund Garden Road
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1107,2.0,1.0,45.0,Camp
Plot  Area,Ready To Move,2 Bedroom,GrrvaGr,1400,2.0,2.0,160.0,Chandan Nagar
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1300,2.0,1.0,67.0,Dapodi
Built-up  Area,Ready To Move,2 BHK,GrrvaGr,570,2.0,1.0,62.0,Deccan Gymkhana
Super built-up  Area,Ready To Move,3 BHK,MadorSp,1715,3.0,2.0,95.0,Dehu Road
Built-up  Area,Ready To Move,2 BHK,GrrvaGr,1200,2.0,1.0,55.0,Dhankawadi
Plot  Area,Ready To Move,6 Bedroom,GrrvaGr,1200,4.5,1.0,225.0,Dhayari Phata
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,703,2.0,1.0,60.0,Dhole Patil Road
Super built-up  Area,18-Sep,2 BHK,GrrvaGr,921,2.0,2.0,29.47,Erandwane
Super built-up  Area,Ready To Move,2 BHK,Saavean,1144,2.0,2.0,65.0,Fatima Nagar
Super built-up  Area,21-Jan,1 BHK,PrarePa,525,1.0,1.0,26.01,Fergusson College Road
Super built-up  Area,Ready To Move,3 BHK,Asnex A,1400,2.0,2.0,56.0,Ganesh Peth
Super built-up  Area,18-Jun,1 BHK,Soresea,661,1.0,1.0,33.0,Ganeshkhind
Plot  Area,Ready To Move,6 Bedroom,GrrvaGr,1200,4.5,2.0,160.0,Ghorpade Peth
Built-up  Area,Ready To Move,5 BHK,GrrvaGr,1200,4.5,2.0,70.0,Ghorpadi
Super built-up  Area,Ready To Move,3 BHK,Prensya,1705,3.0,1.0,91.0,Gokhale Nagar
Plot  Area,Ready To Move,5 Bedroom,GrrvaGr,1035,4.5,1.0,170.0,Gultekdi
Super built-up  Area,Ready To Move,3 BHK,SRldsnt,1430,2.0,0.0,55.0,Guruwar peth
Super built-up  Area,Ready To Move,2 BHK,Srconor,1240,2.0,2.0,55.0,Hadapsar
Super built-up  Area,Ready To Move,3 BHK,GrrvaGr,1325,2.0,2.0,60.8,Hadapsar Industrial Estate
Super built-up  Area,Ready To Move,2 BHK,MenueNo,1230,2.0,2.0,44.0,Hingne Khurd
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1000,2.0,3.0,28.0,Jangali Maharaj Road
Plot  Area,Ready To Move,4 Bedroom,GrrvaGr,740,2.0,1.0,24.5,Kalyani Nagar
Super built-up  Area,Ready To Move,3 BHK,SLnssPr,1330,2.0,2.0,46.45,Karve Nagar
Super built-up  Area,Ready To Move,4 BHK,Adeatlm,3005,4.5,2.0,225.0,Karve Road
Super built-up  Area,Ready To Move,3 BHK,FBazaah,1300,3.0,2.0,170.0,Kasba Peth
Super built-up  Area,Ready To Move,2 BHK,RInceeg,1243,2.0,2.0,46.0,Katraj
Built-up  Area,Ready To Move,4 Bedroom,GrrvaGr,936,2.0,1.0,60.84,Khadaki
Super built-up  Area,18-Apr,3 BHK,GrrvaGr,1500,2.0,2.0,100.0,Khadki
Plot  Area,Ready To Move,3 Bedroom,GrrvaGr,1200,4.0,1.0,156.0,Kharadi
Built-up  Area,Ready To Move,2 BHK,GrrvaGr,1073,2.0,2.0,72.0,Kondhwa
Built-up  Area,Ready To Move,2 BHK,GKityde,1300,2.0,2.0,56.0,Kondhwa Budruk
Plot  Area,18-May,4 Bedroom,Prldsum,4201,4.0,3.0,225.0,Kondhwa Khurd
Built-up  Area,18-Dec,2 BHK,GrrvaGr,1065,2.0,1.0,30.75,Koregaon Park
Super built-up  Area,18-Apr,2 BHK,Prtates,1216,2.0,1.0,66.88,Kothrud
Built-up  Area,Ready To Move,3 BHK,DLhtsen,1252,3.0,2.0,59.0,Law College Road
Super built-up  Area,19-Aug,2 BHK,GrrvaGr,1196,2.0,1.0,44.8,Laxmi Road
Built-up  Area,Ready To Move,2 BHK,Srrnasa,1027,2.0,2.0,44.0,Lulla Nagar
Plot  Area,Ready To Move,3 Bedroom,GrrvaGr,610,2.0,1.0,75.0,Mahatma Gandhi Road
Super built-up  Area,Ready To Move,3 BHK,GrrvaGr,1270,2.0,2.0,57.15,Mangalwar peth
Super built-up  Area,16-Nov,2 BHK,Prs 2hi,1171,2.0,2.0,39.0,Manik Bagh
Super built-up  Area,Ready To Move,3 BHK,GrrvaGr,1215,2.0,3.0,48.6,Market yard
Plot  Area,Ready To Move,1 Bedroom,GrrvaGr,600,1.0,0.0,20.0,Model colony
Super built-up  Area,19-Dec,2 BHK,Oreldhi,1180,2.0,1.0,77.0,Mukund Nagar
Built-up  Area,18-Aug,2 BHK,Sryalan,1160,2.0,1.0,33.51,Mundhawa
Plot  Area,Ready To Move,4 Bedroom,LGrldti,4382,4.0,3.0,225.0,Nagar Road
Super built-up  Area,20-Sep,3 BHK,Goted U,2140,3.0,2.0,139.0,Nana Peth
Super built-up  Area,Ready To Move,3 BHK,GoandAc,1500,3.0,1.0,100.0,Narayan Peth
Super built-up  Area,Ready To Move,2 BHK,Naavehi,1008,2.0,2.0,52.0,Narayangaon
Super built-up  Area,Ready To Move,3 BHK,SoechHa,1921,4.0,3.0,129.0,Navi Peth
Super built-up  Area,Ready To Move,2 BHK,Puncyya,1127,2.0,2.0,32.0,Padmavati
Super built-up  Area,18-May,3 BHK,Pumesim,1621,3.0,1.0,124.0,Parvati Darshan
Plot  Area,Ready To Move,3 Bedroom,GrrvaGr,2400,3.0,0.0,225.0,Pashan
Super built-up  Area,Ready To Move,3 BHK,GrrvaGr,1030,2.0,2.0,77.25,Paud Road
Super built-up  Area,18-Aug,2 BHK,GrrvaGr,1314,2.0,1.0,84.0,Pirangut
Super built-up  Area,Ready To Move,3 BHK,GRhtiru,1220,3.0,1.0,56.0,Prabhat Road
